epoch, loss, accuracy, val_loss, val_accuracy
72, 0.07701647281646729, 94.4443359375, 0.40283820033073425, 98.20260620117188
73, 0.0770181342959404, 94.4443359375, 0.4030842185020447, 98.26165008544922
74, 0.07701652497053146, 94.4443359375, 0.4092453122138977, 98.26000213623047
75, 0.07701646536588669, 94.4443359375, 0.40678489208221436, 98.27212524414062
76, 0.07701651751995087, 94.4443359375, 0.4162921607494354, 98.27255249023438
77, 0.07701685279607773, 94.4443359375, 0.391819566488266, 98.287109375
78, 0.07701648771762848, 94.4443359375, 0.404336154460907, 98.2434310913086
79, 0.07701646536588669, 94.4443359375, 0.4040685296058655, 98.2640380859375
80, 0.07701648771762848, 94.4443359375, 0.4105483591556549, 98.24830627441406
81, 0.07701662927865982, 94.4443359375, 0.4257393181324005, 98.26203918457031
82, 0.07701637595891953, 94.4443359375, 0.4164232313632965, 98.25397491455078
